Date,Time,Class,Course,Lecturer
08.04.2026 Çarşamba,17:00-19:00,,17:00 Türk Dili II,
09.04.2026 Perşembe,13:00-15:00,,ÜSD,
10.04.2026 Cuma,14:30-15:00,,Professional English II + Yabancı Dil II,
08.04.2026 Çarşamba,17:00-19:00,,18:00 Atatürk İlkeleri ve İnkılap Tarihi II,
06.04.2026 Pazartesi,15:00-17:00,C202-203,PHY 1308 Physics II,Doç. Dr. Fehmi BARDAK
06.04.2026 Pazartesi,15:00-17:00,C210,Prof. Dr. Mustafa Ali ÇİPİLOĞLU,
07.04.2026 Salı,11:00-13:00,C202-203,CSE 1124 Object Oriented Programming,Doç. Dr. ÖVÜNÇ ÖZTÜRK
08.04.2026 Çarşamba,11:00-13:00,C203-103,ENG 1126 Linear Algebra,Prof. Dr. ALİ MUTLU
08.04.2026 Çarşamba,15:00-17:00,C203-103,ENG 3100 Engineering Management and Ethics,Dr. Öğr. Üyesi Didem ABİDİN
09.04.2026 Perşembe,11:00-13:00,C203-210,CSE 1120 Discrete Structures,Dr. Öğr. Üyesi Sevcan EMEK
10.04.2026 Cuma,09:00-11:00,C202-203,MTH 1306 Mathematics II,Prof. Dr. ALİ MUTLU
06.04.2026 Pazartesi,13:00-15:00,C202-203-210-110,CSE 2118 Programming Languages,Dr. Öğr. Üyesi Didem ABİDİN
07.04.2026 Salı,13:00-15:00,C202-203-102-103,CSE 2124 Design and Analysis of Algorithms,Prof. Dr. TUĞBA ÖZACAR ÖZTÜRK
08.04.2026 Çarşamba,17:00-19:00,,17:00 Türk Dili II,18:00 Atatürk İlkeleri ve İnkılap Tarihi II
09.04.2026 Perşembe,09:00-11:00,C202-203-102-103,ENG 3120 Statistics,Doç. Dr. Bora CANBULA
10.04.2026 Cuma,15:00-17:00,C202-203-210-110,CSE 2138 Logic Design,Doç. Dr. Birim BALCI
16.04.2026 Perşembe,12:30-13:30,C202-203,SEC 3232 Chess,Doç. Dr. ÖVÜNÇ ÖZTÜRK
16.04.2026 Perşembe,12:30-13:30,C202-203,SEC 3203 History of Technology,ARAŞTIRMA GÖREVLİSİ AHMET CAHİT YAŞA
06.04.2026 Pazartesi,11:00-13:00,C202-203-210-103,CSE 3136 Computer Networks,Prof. Dr. Muhammet Gökhan ERDEM
07.04.2026 Salı,15:00-17:00,C202-203-210-110,CSE 3134 Microprocessor And Embedded Systems,ARAŞTIRMA GÖREVLİSİ AHMET CAHİT YAŞA
10.04.2026 Cuma,11:00-13:00,C202-203-210-110,CSE 3124 Operating Systems,Dr. Öğr. Üyesi Didem ABİDİN
10.04.2026 Cuma,14:30-15:00,C202-203-210-209,CBU 4405 Job Safety and Workers  Health-I,Dr. Öğr. Üyesi Sevcan EMEK
06.04.2026 Pazartesi,17:00-19:00,C202,CSE 3222 Data Mining,Doç. Dr. Birim BALCI
08.04.2026 Çarşamba,13:00-15:00,C202-203,CSE 3237 Parallel Programming,Doç. Dr. Bora CANBULA
09.04.2026 Perşembe,11:00-13:00,C202-103,CSE 3226 Knowledge Engineering and Ontologies,Dr. Öğr. Üyesi Gamze TÜRKMEN
13.04.2026 Pazartesi,12:30-13:30,C202-203,CSE 3214 Introduction to Digital Image Processing,Dr. Öğr. Üyesi Zeynep ÇİPİLOĞLU YILDIZ
14.04.2026 Salı,12:30-13:30,C202-203,CSE 3252 Natural Language Processing,Dr. Öğr. Üyesi VOLKAN ALTINTAŞ
15.04.2026 Çarşamba,12:30-13:30,C202-203,CSE 3201 .Net Programming,Dr. Öğr. Üyesi VOLKAN ALTINTAŞ
15.04.2026 Çarşamba,12:30-13:30,,CSE 3219 Computer Graphics,Dr. Öğr. Üyesi Zeynep ÇİPİLOĞLU YILDIZ
